Song Name,Artist,Genre
Head Like a Hole,Nine Inch Nails,Alternative
Backslide,twenty one pilots,Alternative
Car Radio,twenty one pilots,Alternative
Mary Had A Little Lamb,Buddy Guy,Childrens Music
Itsy Bitsy Spider,Carly Simon,Childrens Music
"Clean Up, Clean Up, Everybody Likes to Clean!",Devon Charles,Childrens Music
Row Row Row Your Boat,Eliphalet Oram Lyte,Childrens Music
Baa Baa Black Sheep,James Hook,Childrens Music
Rain Rain Go Away,Lia Wallace,Childrens Music
Happy Birthday to You,Patty Hill,Childrens Music
Hush Little Baby,Stuart Piggot,Childrens Music
Twinkle Twinkle Little Star,Wolfgang Amadeus Mozart ,Childrens Music
Spring (La Primavera),Antonio Vivaldi,Classical
"Humeresque No. 07 In G flat Major, Op. 101",Dvořák,Classical
Jupiter,Holst,Classical
The Riders of Rohan,Howard Shore,Classical
The Imperial March,John WIlliams,Classical
Bugler's Dream and Olympic Fanfare,John Williams/Leo Arnaud,Classical
The Mandalorian,Ludwig Göransson,Classical
Rosamunde Overture,Schubert,Classical
Shostakovich Symphony No. 5,Shostakovich,Classical
1812 Overture,Tchaikovsky,Classical
Capriccio Italien,Tchaikovsky,Classical
Whiskey Glasses,Morgan Wallen,Country
You Broke Up with Me,Walker Hayes,Country
Up Down,Flordia Georgia Line,Country
What Ifs,Kane Brown,Country
Treehouse,"Alex G, Emily Yacina",Electronic
Mission Impossible Theme,Boris Claudio Schifrin,Electronic
Sundress,A$ap Rocky,Hip Hop
hours in silence ,drake ,Hip Hop
lady killers ,G-Eazy ,Hip Hop
Whatever She Wants,I,Hip Hop
Pour it up,Rihanna,Hip Hop
Rude Boy,Rihanna,Hip Hop
Umbrella ,Rihanna,Hip Hop
Where Have You Been,Rihanna,Hip Hop
Icarus,Bastille,Indie
Heart to Heart,Mac DeMarco ,Indie
Top Gun Anthem,Harold Faltermeyer,Instrumental
Legends of Glory,Katherine Griesinger,Instrumental
Dark Ride,Randall Standridge,Instrumental
Kinetic Dances,Randall Standridge,Instrumental
Stay,Randall Standridge,Instrumental
Warrior Legacy,Soon Hee Newbold,Instrumental
Kiss of life,Sade,Jazz
Packaged Rebellion,Anthrax,Metal
The Gnashing,Baroness,Metal
Hangar 18,Megadeth,Metal
Fuel,Metalica,Metal
Hero of the Day,Metalica,Metal
One,Metalica,Metal
master of puppets,Metallica,Metal
Duality,Slipknot,Metal
Chop Suey!,System of a Down,Metal
Forty Six & Two,Tool,Metal
Schism,Tool,Metal
Paradise,Coldplay,Pop
chanel,frank ocean,Pop
solo,frank ocean,Pop
white farrari,frank ocean,Pop
Believer,Imagine Dragons,Pop
Thunder,Imagine Dragons,Pop
Baby,Justin Bieber,Pop
I Got This Feeling ,Justin Bieber,Pop
Firework,Katy Perry ,Pop
Roar ,Katy Perry ,Pop
bad romance,Lady Gaga,Pop
bloody marry,Lady Gaga,Pop
paparazzi,Lady Gaga,Pop
Show me how,Men I Trust,Pop
America,Neil DIamond,Pop
MONAMI ,Omesi,Pop
Never gonna give you up,Rick Astley,Pop
Notice Me,SZA,Pop
Anti-Hero,Taylor Swift,Pop
Bad Blood,Taylor Swift,Pop
Blank Space,Taylor Swift,Pop
Cruel Summer,Taylor Swift,Pop
Fortnight,Taylor Swift,Pop
I Knew You Were Trouble,Taylor Swift,Pop
Karma,Taylor Swift,Pop
Love Story,Taylor Swift,Pop
Shake It Off,Taylor Swift,Pop
Wildest Dreams,Taylor Swift,Pop
You Belong With Me,Taylor Swift,Pop
Yesterday,The Beatles,Pop
Something Just Like This,The Chainsmokers & Coldplay,Pop
Louise ,TV Girl,Pop
Lush Life,Zara Larsson,Pop
Dark Days,PUP,Punk
Daly City Train,Rancid,Punk
Talk,Strawberry Fuzz,Punk
Pink + White,Frank Ocean,R&B
Thinkin bout you,Frank Ocean,R&B
Broken Clocks,SZA,R&B
Good Days,SZA,R&B
Open Arms,"SZA, Travis Scott",R&B
NOSTYLIST,Destroy Lonley,Rap
TSU,drake,Rap
Pop-Si-CO,Koo Koo,Rap
Thunderstruck,AC/DC,Rock
TNT ,AC/DC,Rock
Dream On,Aerosmith,Rock
All the Small Things,Blink-182,Rock
More Than a Feeling,Boston,Rock
The Final Countdown,Europe,Rock
Everlong,Foo Fighters,Rock
Learn to Fly,Foo Fighters,Rock
You Could be Mine,Guns & Roses,Rock
Paradise City,Guns & Roses,Rock
Danger Zone,Kenny Loggins,Rock
Home Sweet Home,Mötley Crüe,Rock
Smells Like Teen Spirit,Nirvanna,Rock
Better Man,Pearl Jam,Rock
John the Fisherman,Primus,Rock
Another One Bites The Dust,Queen,Rock
bohemian rhapsody,Queen,Rock
Dani California,Red Hot Chili Peppers,Rock
Scar Tissue,Red Hot Chili Peppers,Rock
Through the Ghost,Shinedown,Rock
I Remember You,Skid Row,Rock
Runaway Train,Soul Asylum,Rock
Gang of Thieves,State Radio,Rock
Caroline,The Dirty Nil,Rock
Change of Heart,Tom Petty & the Heartbreakers,Rock
Say It Ain't So,Weezer,Rock
