Name,Genre
Car Radio,Alternative
Backslide,Alternative
Head Like a Hole,Alternative
Heart to Heart,Alternative
Believer,Alternative
Thunder,Alternative
Icarus,Alternative 
Happy Birthday to You,Childrens Music
Row Row Row Your Boat,Childrens Music
Twinkle Twinkle Little Star,Childrens Music
Baa Baa Black Sheep,Childrens Music
Mary Had A Little Lamb,Childrens Music
Rain Rain Go Away,Childrens Music
Hush Little Baby,Childrens Music
Itsy Bitsy Spider,Childrens Music
"Clean Up, Clean Up, Everybody Likes to Clean!",Childrens Music
Spring (La Primavera),Classical
Capriccio Italien,Classical
1812 Overture,Classical
Rosamunde Overture,Classical
The Imperial March,Classical
Shostakovich Symphony No. 5,Classical
Bugler's Dream and Olympic Fanfare,Classical
Jupiter,Classical
The Riders of Rohan,Classical
"Humoresque No. 07 In G flat Major, Op. 101",Classical
Whiskey Glasses,Country
You Broke Up with Me,Country
What Ifs,Country 
Up Down,Country 
Mission Impossible Theme,Electronic
Treehouse,Electronic
The Mandalorian,Electronic
The Final Countdown,Electronic
sundress,Hip Hop
runnin,Hip Hop
Umbrella ,Hip Hop
Whatever She Wants,Hip Hop
Redrum,Hip Hop
Sundress,Hip Hop
lady killers ,Hip Hop
Rude Boy,Hip Hop
Pour it up,Hip Hop
can't say,Hip Hop
TSU,Hip Hop
solo ,Hip Hop
Where Have You Been,Hip Hop
hours in silence ,Hip Hop
Warrior Legacy,Instrumental
Legends of Glory,Instrumental
Stay,Instrumental
Kinetic Dances,Instrumental
Dark Ride,Instrumental
Kiss of life,Instrumental
Top Gun Anthem,Instrumental 
Never gonna give you up,Pop
I Got This Feeling ,Pop
Blank Space,Pop
blank space ,Pop
sundress,Pop
Wildest Dreams,Pop
Never gonna give you up,Pop
Shake It Off,Pop
Shake it off,Pop
good days,Pop
Never gonna give you up,Pop
Karma ,Pop
Karma,Pop
Show me how,Pop
Lush Life,Pop
white ferrari,Pop
Baby,Pop
Never gonna give you up,Pop
Love Story,Pop
Love Story,Pop
chanel ,Pop
Paradise,Pop
lady killers,Pop
Never gonna give you up,Pop
Firework,Pop
Fortnight,Pop
Fortnight,Pop
white ferrari,Pop
Something Just Like This,Pop
Never gonna give you up,Pop
Roar ,Pop
Cruel Summer,Pop
Cruel Summer,Pop
fortnight,Pop
Never gonna give you up,Pop
Bad Blood,Pop
I Knew You Were Trouble,Pop
You belong with me,Pop
90210,Pop
MONAMI ,Pop
chanel,Pop
blank space,Pop
Never gonna give you up,Pop
You Belong With Me,Pop
Bad Blood,Pop
America,Pop
Yesterday,Pop
Notice Me,Pop
shake it off,Pop
Never gonna give you up,Pop
Fortnite ,Pop
Bad Blood,Pop
I knew you trouble ,Pop
Louise ,Pop
Never gonna give you up,Pop
Anti-Hero,Pop
Anti-hero,Pop
Never Gonna Give You Up,Pop
solo,Pop
bloody mary,Pop
bad romance,Pop
paparazzi,Pop
Good Days,RnB
Broken Clocks,RnB
Pink + White,RnB
Thinkin bout you,RnB
Open Arms,RnB
Judge Please,Rap
Mo Bamba,Rap
Freestyle 2,Rap
I Love UI Hate U,Rap
Love Me,Rap
Ransom (remix),Rap
runnin ,Rap
Zoo York,Rap
hours in silence,Rap
Breathe,Rap
Pop-Si-CO,Rap
NOSTYLIST,Rap
90210,Rap
Rapstar,Rap
TSU,Rap
All the Stars,Rap
Yale,Rap
Danger Zone,Rock
Caroline,Rock
I Remember You,Rock
You Could be Mine,Rock
Smells Like Teen Spirit,Rock
Duality,Rock
Thunderstruck,Rock
Fuel,Rock
Fuel,Rock
One,Rock
Chop Suey!,Rock
Hero of the Day,Rock
master of puppets,Rock
Packaged Rebellion,Rock
Hangar 18,Rock
The Gnashing,Rock
Schism,Rock
Forty Six & Two,Rock
Talk,Rock
Dark Days,Rock
Daly City Train,Rock
Better Man,Rock
All the Small Things,Rock
Thunderstruck,Rock
Runaway Train,Rock
Say It Ain't So,Rock
Dream On,Rock
TNT ,Rock
Change of Heart,Rock
Everlong,Rock
Learn to Fly,Rock
Dani California,Rock
Another One Bites The Dust,Rock
Scar Tissue,Rock
More Than a Feeling,Rock
John the Fisherman,Rock
Paradise City,Rock
Through the Ghost,Rock
Gang of Thieves,Rock
Home Sweet Home,Rock
bohemian rhapsody,Rock
